"","dataset","imputation_method","model","metric","metric_value"
"273","openml_dataset_27","missForest","classif.glmnet","auc",0.903787878787879
"274","openml_dataset_27","missForest","classif.glmnet","f1",0.847058823529412
"275","openml_dataset_27","missForest","classif.kknn","auc",0.890151515151515
"276","openml_dataset_27","missForest","classif.kknn","f1",0.876404494382023
"277","openml_dataset_27","missForest","classif.ranger","auc",0.924242424242424
"278","openml_dataset_27","missForest","classif.ranger","f1",0.869565217391304
"279","openml_dataset_27","missForest","classif.xgboost","auc",0.864772727272727
"280","openml_dataset_27","missForest","classif.xgboost","f1",0.813186813186813
"281","openml_dataset_29","missForest","classif.rpart","auc",0.918376068376068
"282","openml_dataset_29","missForest","classif.rpart","f1",0.849557522123894
"283","openml_dataset_29","missForest","classif.glmnet","auc",0.913888888888889
"284","openml_dataset_29","missForest","classif.glmnet","f1",0.861788617886179
"285","openml_dataset_29","missForest","classif.kknn","auc",0.881410256410256
"286","openml_dataset_29","missForest","classif.kknn","f1",0.779661016949153
"287","openml_dataset_29","missForest","classif.ranger","auc",0.967094017094017
"288","openml_dataset_29","missForest","classif.ranger","f1",0.857142857142857
"289","openml_dataset_29","missForest","classif.xgboost","auc",0.932051282051282
"290","openml_dataset_29","missForest","classif.xgboost","f1",0.811320754716981
"291","openml_dataset_38","missForest","classif.rpart","auc",0.999009359841498
"292","openml_dataset_38","missForest","classif.rpart","f1",0.926829268292683
"293","openml_dataset_38","missForest","classif.glmnet","auc",0.96700143472023
"294","openml_dataset_38","missForest","classif.glmnet","f1",0.606060606060606
"295","openml_dataset_38","missForest","classif.kknn","auc",0.934446949511512
"296","openml_dataset_38","missForest","classif.kknn","f1",0.626865671641791
"297","openml_dataset_38","missForest","classif.ranger","auc",0.997847919655667
"298","openml_dataset_38","missForest","classif.ranger","f1",0.886075949367089
"299","openml_dataset_38","missForest","classif.xgboost","auc",0.999197239871558
"300","openml_dataset_38","missForest","classif.xgboost","f1",0.951219512195122
"301","openml_dataset_4","missForest","classif.rpart","auc",0.5
"302","openml_dataset_4","missForest","classif.rpart","f1",0.8
"303","openml_dataset_4","missForest","classif.glmnet","auc",1
"304","openml_dataset_4","missForest","classif.glmnet","f1",0.8
"305","openml_dataset_4","missForest","classif.kknn","auc",0.84375
"306","openml_dataset_4","missForest","classif.kknn","f1",0.941176470588235
"307","openml_dataset_4","missForest","classif.ranger","auc",1
"308","openml_dataset_4","missForest","classif.ranger","f1",0.888888888888889
"309","openml_dataset_4","missForest","classif.xgboost","auc",0.5
"310","openml_dataset_4","missForest","classif.xgboost","f1",0.8
"311","openml_dataset_55","missForest","classif.rpart","auc",0.885869565217391
"312","openml_dataset_55","missForest","classif.rpart","f1",0.888888888888889
"313","openml_dataset_55","missForest","classif.glmnet","auc",0.847826086956522
"314","openml_dataset_55","missForest","classif.glmnet","f1",0.867924528301887
"315","openml_dataset_55","missForest","classif.kknn","auc",0.866847826086957
"316","openml_dataset_55","missForest","classif.kknn","f1",0.893617021276596
"317","openml_dataset_55","missForest","classif.ranger","auc",0.902173913043478
"318","openml_dataset_55","missForest","classif.ranger","f1",0.916666666666667
"319","openml_dataset_55","missForest","classif.xgboost","auc",0.758152173913043
"320","openml_dataset_55","missForest","classif.xgboost","f1",0.901960784313726
"321","openml_dataset_56","missForest","classif.rpart","auc",0.967613636363636
"322","openml_dataset_56","missForest","classif.rpart","f1",0.923076923076923
"323","openml_dataset_56","missForest","classif.glmnet","auc",0.968181818181818
"324","openml_dataset_56","missForest","classif.glmnet","f1",0.939393939393939
"325","openml_dataset_56","missForest","classif.kknn","auc",0.961647727272727
"326","openml_dataset_56","missForest","classif.kknn","f1",0.857142857142857
"327","openml_dataset_56","missForest","classif.ranger","auc",0.978977272727273
"328","openml_dataset_56","missForest","classif.ranger","f1",0.939393939393939
"329","openml_dataset_56","missForest","classif.xgboost","auc",0.967613636363636
"330","openml_dataset_56","missForest","classif.xgboost","f1",0.923076923076923
"331","openml_dataset_944","missForest","classif.rpart","auc",0.893939393939394
"332","openml_dataset_944","missForest","classif.rpart","f1",0.857142857142857
"333","openml_dataset_944","missForest","classif.glmnet","auc",0.821212121212121
"334","openml_dataset_944","missForest","classif.glmnet","f1",0.814814814814815
"335","openml_dataset_944","missForest","classif.kknn","auc",0.848484848484849
"336","openml_dataset_944","missForest","classif.kknn","f1",0.814814814814815
"337","openml_dataset_944","missForest","classif.ranger","auc",0.915151515151515
"338","openml_dataset_944","missForest","classif.ranger","f1",0.814814814814815
"339","openml_dataset_944","missForest","classif.xgboost","auc",0.918181818181818
"340","openml_dataset_944","missForest","classif.xgboost","f1",0.814814814814815
"341","openml_dataset_1018","random","classif.rpart","auc",0.5
"342","openml_dataset_1018","random","classif.rpart","f1",0.967911318553092
"343","openml_dataset_1018","random","classif.glmnet","auc",0.892229711217053
"344","openml_dataset_1018","random","classif.glmnet","f1",0.967892586106246
"345","openml_dataset_1018","random","classif.kknn","auc",0.671003890624144
"346","openml_dataset_1018","random","classif.kknn","f1",0.960662525879917
